id,canonical_id,id_source,Name EN,Name DE,Category,Pronouns,Country,Description EN,Description DE,Linked Projects,Status Web,Website,Instagram,Facebook,LinkedIn,status_web,visibility_rule,public_for_hackathon,link_allowed
DepartmentofNewMediaArtTaipeiNationalUniversityoftheArts-36e38ddb450c81019f1ace21e82c5df7,36e38ddb450c81019f1ace21e82c5df7,notion,"Department of New Media Art, Taipei National University of the Arts",,Organization,,TW Taiwan,"The Department of New Media Art at Taipei National University of the Arts is one of Taiwan’s leading programs dedicated to media art, digital culture and interdisciplinary creation. Through artistic practice, technological experimentation and critical research, the department cultivates emerging artists working across interactive media, audiovisual performance, installation, AI and networked systems.","Der Fachbereich New Media Art an der Taipei National University of the Arts ist einer der führenden Studiengänge Taiwans in den Bereichen Medienkunst, digitale Kultur und interdisziplinäres künstlerisches Schaffen. Durch die Verbindung von künstlerischer Praxis, technologischem Experimentieren und kritischer Forschung fördert der Fachbereich aufstrebende Künstler*innen, die an den Schnittstellen von interaktiven Medien, audiovisueller Performance, Installation, Künstlicher Intelligenz und vernetzten Systemen arbeiten.",37038ddb450c8190a4c3f7ba7236f7cc,done,https://nma.tnua.edu.tw/,https://www.instagram.com/tnua_nma/,https://www.facebook.com/tnuanma,,done,public,True,True
NationalTsingHuaUniversity-37238ddb450c8190ab57d5147790494c,37238ddb450c8190ab57d5147790494c,notion,National Tsing Hua University,,Organization,,TW Taiwan,"Established in 1911, National Tsing Hua University (NTHU) was originally located in Beijing, China, under the name “Tsing Hua Academy”, but was re-located in 1956 to Hsinchu, Taiwan. NTHU has developed into a comprehensive research university offering a full range of degree programs in science, technology, engineering, humanities, social sciences, management, education and arts. NTHU consistently ranks as a premier university in East Asia, and is widely recognized as a leading institution for producing future leaders.","Die National Tsing Hua University (NTHU) wurde 1911 in Beijing, China, als “Tsing Hua Academy“ gegründet und 1956 nach Hsinchu, Taiwan, verlegt. Seither hat sie sich zu einer umfassenden Forschungsuniversität entwickelt, die ein breites Spektrum an Studiengängen in den Naturwissenschaften, den Ingenieur- und Technikwissenschaften sowie in den Geistes- und Sozialwissenschaften, im Management, in der Pädagogik und in den Künsten anbietet. Die NTHU gehört regelmäßig zu Ostasiens führenden Universitäten und genießt international hohes Ansehen als Kaderschmiede für die Führungspersönlichkeiten von morgen.",37238ddb450c81759550f9b4199cfd3e,done,https://www.nthu.edu.tw/,https://www.instagram.com/nthu_official/,https://www.facebook.com/nthu.tw/?locale=zh_TW,https://www.linkedin.com/school/national-tsing-hua-university/posts/?feedView=all,done,public,True,True
Po-yunKuo-37238ddb450c81f18d87d9833b982176,37238ddb450c81f18d87d9833b982176,notion,Po-yun Kuo,,Person,she/her,TW Taiwan,"Po-Yun Kuo is a Taiwanese interdisciplinary artist who graduated from the Royal College of Art. Her work explores intersections of the body, mobility and politics, focusing on how shifts in space reflect power dynamics and social hierarchies. Alongside her artistic practice, Kuo is a documentary and experimental film director. Her films focus on socio-political issues in East Asia, with an interest in women’s diary films and personal narratives. Her recent works have been exhibited in the UK, Japan and Hong Kong.","Po-Yun Kuo ist eine taiwanische interdisziplinäre Künstlerin und Absolventin des Royal College of Art. Ihre Arbeit untersucht die Verbindungen zwischen Körper, Mobilität und Politik und konzentriert sich darauf, wie Veränderungen im Raum Machtverhältnisse und soziale Hierarchien widerspiegeln. Neben ihrer künstlerischen Tätigkeit ist Kuo Regisseurin von Dokumentar- und Experimentalfilmen. Ihre Filme beschäftigen sich mit gesellschaftspolitischen Themen in Ostasien, insbesondere mit Tagebuchfilmen und persönlichen Erzählungen von Frauen. Ihre jüngsten Arbeiten wurden in Großbritannien, Japan und Hongkong ausgestellt.",37238ddb450c8196a207eaeef73e7995,done,https://www.poyunkuo.com/,https://www.instagram.com/poyunkuo_/,,,done,public,True,True
UMPRUMArtsArchitectureandDesigninPrague-37238ddb450c81caa418c7595a688cca,37238ddb450c81caa418c7595a688cca,notion,"UMPRUM Arts, Architecture, and Design in Prague",,Organization,,CZ Czechia,"UMPRUM is a leading art academy known for its individual approach to education, which supports talent, creativity and independent thinking. With around 600 students across 28 studios, UMPRUM fosters innovation and social responsibility. The academy regularly presents student work through Artsemestr exhibitions and hosts numerous international exhibitions. Ranked 76th globally in the QS Art & Design rankings, it is a top institution in Central and Eastern Europe.","Die UMPRUM ist eine führende Kunstakademie, die für ihren individuellen Bildungsansatz bekannt ist und Talent, Kreativität sowie unabhängiges Denken fördert. Mit rund 600 Studierenden in 28 Ateliers fördert die UMPRUM Innovation und soziales Verantwortungsbewusstsein. Die Akademie präsentiert regelmäßig studentische Arbeiten im Rahmen der Artsemestr-Ausstellungen und richtet zahlreiche internationale Ausstellungen aus. Im QS-Ranking für Kunst und Design belegt sie weltweit Platz 76 und zählt damit zu den renommiertesten Einrichtungen in Mittel- und Osteuropa.",37238ddb450c81d5a6f8e25e97466c15,done,https://www.umprum.cz/en,https://www.instagram.com/umprum_praha/,https://www.facebook.com/UMPRUM,,done,public,True,True
MakeSensePhD-37638ddb450c8165b7ebf8a0aeeb64ba,37638ddb450c8165b7ebf8a0aeeb64ba,notion,Make/Sense PhD,,Organization,,CH Switzerland,"Make/Sense is a three-year practice-based PhD program offered jointly by the Basel Academy of Art and Design FHNW and the University of Arts Linz. It supports artistic and design research that critically engages with infrastructures, situated practices and trans*feminist, anti-colonial perspectives. The curriculum includes individual mentoring, monthly colloquia and an annual assembly. Public events and collaborations with external partners further extend the program’s research environment.","Make/Sense ist ein dreijähriges praxisorientiertes Doktoratsprogramm, das gemeinsam von der Hochschule für Gestaltung und Kunst Basel (FHNW) und der Kunstuniversität Linz angeboten wird. Es fördert künstlerische und gestalterische Forschung, die sich kritisch mit Infrastrukturen, situierten Praktiken sowie trans*feministischen und antikolonialen Perspektiven auseinandersetzt. Das Programm umfasst individuelle Betreuung, monatliche Kolloquien und eine jährliche Versammlung. Öffentliche Veranstaltungen und Kooperationen mit externen Partnern erweitern das Forschungsumfeld des Programms zusätzlich.",37638ddb450c815c83a1c38ba0d000f5,done,https://makesensephd.ch/,,,,done,public,True,True
MATransversalDesign-37638ddb450c8142a102e87c6c4b3468,37638ddb450c8142a102e87c6c4b3468,notion,MA Transversal Design,,Organization,,CH Switzerland,"The MA in Transversal Design is a study program for practice-based research that aims to grow community infrastructures for worlds in transition. The program investigates the social, political, ecological and technological dynamics of the systems we live by to design for grounded transformation—from alternative media, speculative models and practices of care, to tools for solidarity and radical proposals for innovation.","Transversal Design ist ein Studiengang für praxisorientierte Forschung, der gemeinschaftliche Infrastrukturen für Welten im Wandel entwickelt. Wir untersuchen die sozialen, politischen, ökologischen und technologischen Dynamiken der Systeme, in denen wir leben, um eine fundierte Transformation zu gestalten – von alternativen Medien, spekulativen Modellen und Praktiken der Fürsorge bis hin zu Instrumenten der Solidarität und radikalen Innovationsvorschlägen.",37638ddb450c815c83a1c38ba0d000f5,done,https://www.transversaldesign.ch,,,,done,public,True,True
MAInteractionDesignZHdK-37638ddb450c81018233dbec272e6ba6,37638ddb450c81018233dbec272e6ba6,notion,"MA Interaction Design, ZHdK","MA Interaction Design, ZHdK",Organization,,CH Switzerland,"The MA in Interaction Design at ZHdK is a practice-based research program focusing on the entanglements of various societal, environmental and technological issues. It explores how planetary issues manifest locally in human and non-human experience, and prototypes alternative scenarios through project-based learning and theoretical reflection. Students learn methods for fieldwork, iterative prototyping and conceptual thinking, culminating in a thesis demonstrating design vision and critical thinking.","Der Masterstudiengang Interaction Design an der ZHdK ist ein praxisorientiertes Forschungsprogramm, das sich mit den Verflechtungen gesellschaftlicher, ökologischer und technologischer Themen befasst. Wir untersuchen, wie sich planetare Herausforderungen lokal in menschlichen und nicht-menschlichen Erfahrungen manifestieren, und entwickeln durch projektbasiertes Lernen und theoretische Reflexion Prototypen für alternative Szenarien. Die Studierenden erlernen Methoden der Feldforschung, des iterativen Prototyping und des konzeptionellen Denkens. Das Studium mündet in eine Abschlussarbeit, die gestalterische Vision und kritische Reflexionsfähigkeit unter Beweis stellt.",37b38ddb450c81f09a51dbb6f4ca3a33,done,https://interactiondesign.zhdk.ch/,https://www.instagram.com/interactiondesign_zhdk,https://www.facebook.com/viad.viad.750/,https://www.linkedin.com/company/11432177,done,public,True,True
Moholy-NagyUniversityofArtandDesign-37638ddb450c81ff91c2ef1464fb7ea6,37638ddb450c81ff91c2ef1464fb7ea6,notion,Moholy-Nagy University of Art and Design,,Organization,,HU Hungary,"As one of the leading design universities in the Central and Eastern European region, Moholy-Nagy University of Art and Design (MOME Budapest) strives to provide answers to the many challenges of the 21st century by combining science and art, design and creative innovation.","Als eine der führenden Designhochschulen in Mittel- und Osteuropa ist die Moholy-Nagy University of Art and Design (MOME Budapest) bestrebt, durch die Verbindung von Wissenschaft und Kunst, Design und kreativer Innovation Antworten auf die Herausforderungen des 21. Jahrhunderts zu finden.",37a38ddb450c81ca919ada6ae453385a,done,https://mome.hu/en/,https://www.instagram.com/mome_budapest/,https://www.facebook.com/momebudapest,https://www.linkedin.com/school/mome-budapest/,done,public,True,True
forumnassociationforimplementingsustainabilityinhighereducationinstitutions-37638ddb450c81999e03f85cbbd6ec8f,37638ddb450c81999e03f85cbbd6ec8f,notion,forum n – association for implementing sustainability in higher education institutions,forum n – Verein zur Vernetzung von Nachhaltigkeit an Hochschulen,Organization,,AT Austria,"The association forum n acts as a platform for supporting, connecting and facilitating dialogue among students at Austrian universities. It aims to contribute to a transformation of higher education institutions and, thereby, to a sustainable society by connecting students to organizations and professional fields beyond academia. With innovative concepts such as “arts of change“, forum n is breaking new ground at the intersection of the arts and professional practice.","Der Verein forum n versteht sich als Plattform zur Unterstützung, Vernetzung und Förderung des Dialogs unter Studierenden an österreichischen Hochschulen. Er trägt durch die Vernetzung von Studierenden mit Organisationen und Berufsfeldern außerhalb der akademischen Welt zu einer Transformation der Hochschulen und damit zu einer nachhaltigen Gesellschaft bei. Mit innovativen Konzepten wie ""arts of change"" beschreitet forum n neue Wege an der Schnittstelle zwischen Kunst und Berufspraxis.",37b38ddb450c8103ac2ce2ef785984e8,done,https://forum-n.at/,https://www.instagram.com/artsofchange/,,,done,public,True,True
TheCultureFuturesLabLASALLECollegeoftheArtsUniversityoftheArtsSingapore-37838ddb450c81a69d87f369d2345fbd,37838ddb450c81a69d87f369d2345fbd,notion,"The Culture Futures Lab, LASALLE College of the Arts, University of the Arts Singapore",,Organization,,SG Singapore,"The Culture Futures Lab is a transdisciplinary research hub at LASALLE College of the Arts, University of the Arts Singapore. Integrating research with artistic practice, the Lab bridges critical inquiry and creative action to help shape the future of culture. As a globally ranked institution anchored in Singapore and rooted in Asia, LASALLE’s interdisciplinary environment inspires the next generation of globally engaged creative leaders under the mentorship of award-winning faculty.","Das Culture Futures Lab ist ein transdisziplinäres Forschungszentrum am LASALLE College of the Arts der University of the Arts Singapore. Durch die Verbindung von Forschung und künstlerischer Praxis schlägt das Lab eine Brücke zwischen kritischer Reflexion und kreativem Handeln, um die Zukunft von Kultur mitzugestalten. Als international anerkannte Institution mit Sitz in Singapur und einer starken Verankerung im asiatischen Kontext inspiriert das interdisziplinäre Umfeld von LASALLE unter der Anleitung vielfach ausgezeichneter Lehrender die nächste Generation global engagierter kreativer Führungskräfte.",37838ddb450c8102b84ae7316552a6ee,done,https://culturefutures.net/ ; https://www.lasalle.edu.sg/,,,https://www.linkedin.com/company/114734009 ; https://www.linkedin.com/school/lasallesg/,done,public,True,True
